ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
27,1,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,127.34883720930233,2.116279069767442,0,1,8
27,2,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,147.26136363636363,2.4431818181818183,0,2,9
27,3,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,612.4414414414415,3.4324324324324325,0,3,26
27,4,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,625.448275862069,1.1724137931034482,0,4,27
27,5,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,135.05116279069767,8.18139534883721,0,5,29
27,6,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,624.1633986928105,9.581699346405228,0,6,32
27,7,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,600.5169082125603,11.91304347826087,0,7,37
27,8,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,353.97058823529414,16.112745098039216,0,8,47
27,9,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,593.665625,30.61875,0,9,73
27,10,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,193.05882352941177,38.932126696832576,0,10,87
27,11,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,39.26587301587302,45.58730158730159,0,11,102
27,12,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,23.774590163934427,48.90163934426229,0,12,109
27,13,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,97.8755980861244,69.96650717703349,0,13,143
27,14,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,626.95,66.55,0,14,148
27,15,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,613.6919642857143,72.27232142857143,0,15,150
27,16,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,13.56060606060606,74.56060606060606,0,16,157
27,17,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,74.08333333333333,77.18333333333334,0,17,160
27,18,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,87.81818181818181,79.75524475524476,0,18,171
27,19,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,504.096,83.3,0,19,174
27,20,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,25.804255319148936,83.94893617021276,0,20,179
27,21,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,11.181494661921707,103.03914590747331,0,21,213
27,22,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,413.1877729257642,104.65065502183405,0,22,222
27,23,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,251.66206896551725,112.29310344827586,0,23,234
27,24,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,494.9864253393665,152.31221719457014,0,24,307
27,25,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,226.29194630872485,171.54026845637583,0,25,343
27,26,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,249.59803921568627,188.61764705882354,0,26,375
27,27,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,626.9076923076923,189.96923076923076,0,27,379
27,28,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,620.6771159874609,199.36050156739813,0,28,386
27,29,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,249.66666666666666,199.20481927710844,0,29,389
27,30,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,7.179916317991632,208.84937238493723,0,30,411
27,31,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,610.8069306930693,209.6039603960396,0,31,412
27,32,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,21.14946619217082,214.94306049822063,0,32,416
27,33,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,8.257142857142858,226.0857142857143,0,33,432
27,34,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,288.3323262839879,225.98791540785498,0,34,435
27,35,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,30.529661016949152,228.64406779661016,0,35,447
27,36,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,607.9130434782609,233.8814229249012,0,36,458
27,37,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,154.47826086956522,235.7554347826087,0,37,460
27,38,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,21.385454545454547,239.68,0,38,468
27,39,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,3.690265486725664,239.41592920353983,0,39,473
27,40,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,40.82831325301205,243.84036144578315,0,40,474
27,41,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,145.3014705882353,250.02941176470588,0,41,489
27,42,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,360.0551724137931,262.97241379310344,0,42,517
27,43,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,348.1195652173913,268.3478260869565,0,43,529
27,44,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,337.7282608695652,274.2717391304348,0,44,539
27,45,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,365.6650485436893,276.31067961165047,0,45,540
27,46,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,341.6127819548872,288.49624060150376,0,46,559
27,47,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,550.7590361445783,290.1686746987952,0,47,560
27,48,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,360.510158013544,304.3905191873589,0,48,579
27,49,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,428.66315789473686,318.9915789473684,0,49,601
27,50,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,624.6944444444445,315.30555555555554,0,50,607
27,51,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,462.04899135446686,321.78962536023056,0,51,615
27,52,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,414.01463414634145,323.5365853658537,0,52,626
27,53,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,300.77319587628864,327.5,0,53,632
27,54,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,397.712962962963,334.35185185185185,0,54,642
27,55,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,296.7916666666667,369.43981481481484,0,55,711
27,56,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,376.41911764705884,381.1139705882353,0,56,730
27,57,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,464.3453608247423,380.70103092783506,0,57,739
27,58,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,478.23161764705884,385.0110294117647,0,58,745
27,59,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,374.78632478632477,395.03418803418805,0,59,762
27,60,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,483.3345070422535,398.91901408450707,0,60,763
27,61,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,383.7761904761905,403.14285714285717,0,61,773
27,62,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,616.8131487889274,405.33910034602076,0,62,782
27,63,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,503.4436090225564,412.0827067669173,0,63,802
27,64,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,176.86720867208672,420.20867208672087,0,64,806
27,65,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,546.7203791469194,419.33649289099526,0,65,814
27,66,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,514.2857142857143,421.6612244897959,0,66,819
27,67,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,501.2040816326531,423.7687074829932,0,67,826
27,68,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,539.09,427.0,0,68,830
27,69,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,524.7023255813954,430.3953488372093,0,69,836
27,70,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,191.62222222222223,432.9148148148148,0,70,841
27,71,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,492.67333333333335,436.5466666666667,0,71,850
27,72,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,473.4191616766467,438.1137724550898,0,72,854
27,73,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,258.38709677419354,438.62672811059906,0,73,856
27,74,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,534.0629139072847,441.0430463576159,0,74,862
27,75,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,616.1315789473684,445.1118421052632,0,75,871
27,76,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,469.6225680933852,456.67315175097275,0,76,892
27,77,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,622.9270386266095,458.3776824034335,0,77,898
27,78,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,603.8666666666667,466.14444444444445,0,78,909
27,79,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,384.36559139784947,467.7741935483871,0,79,921
27,80,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,117.76305220883535,473.46586345381525,0,80,931
27,81,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,542.7828282828283,473.7878787878788,0,81,935
27,82,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,478.36416184971097,474.77456647398844,0,82,936
27,83,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,392.90725806451616,479.2540322580645,0,83,944
27,84,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,321.4409090909091,480.8090909090909,0,84,949
27,85,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,561.078947368421,480.5563909774436,0,85,951
27,86,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,519.223602484472,477.4099378881988,0,86,956
27,87,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,233.33333333333334,484.4874551971326,0,87,958
27,88,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,624.5422535211268,485.4366197183099,0,88,959
27,89,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,489.12133891213387,487.26778242677824,0,89,962
27,90,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,377.048,487.8933333333333,0,90,964
27,91,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,510.5249042145594,485.8429118773946,0,91,965
27,92,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,581.021978021978,487.6923076923077,0,92,967
27,93,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,448.42293906810033,489.30824372759855,0,93,970
27,94,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,530.7765957446809,487.29787234042556,0,94,971
27,95,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,609.8757062146892,486.85310734463275,0,95,972
27,96,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,544.9942196531792,489.1791907514451,0,96,975
27,97,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,595.1795918367347,489.7755102040816,0,97,976
27,98,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,91.14649681528662,494.9808917197452,0,98,980
27,99,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,428.2139037433155,493.85026737967917,0,99,988
27,100,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,501.4656862745098,496.1617647058824,0,100,990
27,101,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,411.4154411764706,496.9595588235294,0,101,993
27,102,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,181.7064846416382,499.740614334471,0,102,997
27,103,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,620.9397590361446,500.66265060240966,0,103,998
27,104,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,520.3529411764706,498.38235294117646,0,104,1000
27,105,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,628.0540540540541,505.3783783783784,0,105,1006
27,106,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,492.40167364016736,505.89958158995813,0,106,1008
27,107,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,585.4588607594936,506.0,0,107,1009
27,108,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,426.53636363636366,505.77272727272725,0,108,1013
27,109,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,517.5270935960591,509.64039408866995,0,109,1016
27,110,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,215.1304347826087,510.9683794466403,0,110,1017
27,111,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,308.34104046242777,510.6184971098266,0,111,1019
