ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
27,1,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,50.769633507853406,5.958115183246074,0,1,2
27,2,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,59.48717948717949,12.08974358974359,0,2,39
27,3,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,616.5459770114943,16.25287356321839,0,3,44
27,4,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,41.632,12.68,0,4,45
27,5,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,68.68166089965398,18.557093425605537,0,5,52
27,6,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,22.73895582329317,19.23694779116466,0,6,56
27,7,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,37.10582010582011,20.96825396825397,0,7,58
27,8,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,6.562277580071174,40.88256227758007,0,8,91
27,9,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,381.2732558139535,71.74127906976744,0,9,145
27,10,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,81.31428571428572,104.0952380952381,0,10,219
27,11,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,59.91017964071856,254.55089820359282,0,11,503
27,12,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,47.3963133640553,259.8663594470046,0,12,507
27,13,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,61.82674772036474,286.79939209726444,0,13,555
27,14,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,52.83251231527094,297.6551724137931,0,14,571
27,15,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,529.9737532808399,301.17847769028873,0,15,576
27,16,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,565.3829787234042,340.3872340425532,0,16,656
27,17,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,539.7118644067797,357.0282485875706,0,17,685
27,18,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,355.9906103286385,367.25821596244134,0,18,706
27,19,,,0,0,X5,X5,Y1,Y1,WT1D,WT1D,556.9505494505495,377.9065934065934,0,19,718
