ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
22,1,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,387.992673992674,6.538461538461538,0,1,14
22,2,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,337.76973684210526,5.480263157894737,0,2,23
22,3,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,330.8716216216216,14.324324324324325,0,3,37
22,4,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,510.4142259414226,19.389121338912133,0,4,44
22,5,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,429.20283018867923,21.202830188679247,0,5,52
22,6,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,412.1991869918699,23.51219512195122,0,6,59
22,7,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,526.3374485596707,24.440329218106996,0,7,61
22,8,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,443.521897810219,31.755474452554743,0,8,74
22,9,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,464.24899598393574,31.29718875502008,0,9,75
22,10,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,499.7744680851064,33.285106382978725,0,10,79
22,11,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,430.22641509433964,32.06603773584906,0,11,81
22,12,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,513.6825396825396,35.68783068783069,0,12,82
22,13,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,416.81290322580645,35.251612903225805,0,13,85
22,14,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,481.34375,38.395833333333336,0,14,86
22,15,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,205.48958333333334,33.197916666666664,0,15,88
22,16,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,402.7991266375546,40.9825327510917,0,16,95
22,17,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,527.625,38.145833333333336,0,17,96
22,18,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,427.576512455516,45.380782918149464,0,18,104
22,19,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,215.81666666666666,43.516666666666666,0,19,106
22,20,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,452.2830188679245,43.41509433962264,0,20,107
22,21,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,583.8198529411765,46.2389705882353,0,21,111
22,22,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,622.2326732673267,49.004950495049506,0,22,120
22,23,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,417.9714285714286,63.99047619047619,0,23,148
22,24,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,425.00925925925924,74.29629629629629,0,24,174
22,25,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,622.8188976377953,73.43307086614173,0,25,177
22,26,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,612.5481927710844,74.75903614457832,0,26,180
22,27,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,416.20958083832335,78.13173652694611,0,27,185
22,28,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,455.551912568306,77.21857923497268,0,28,186
22,29,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,446.27027027027026,76.24324324324324,0,29,190
22,30,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,432.6304347826087,87.9608695652174,0,30,203
22,31,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,443.5321100917431,84.89908256880734,0,31,204
22,32,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,623.7218543046357,85.17880794701986,0,32,206
22,33,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,604.3087248322148,87.87248322147651,0,33,211
22,34,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,6.072992700729927,87.5985401459854,0,34,215
22,35,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,335.97350993377484,90.89403973509934,0,35,219
22,36,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,454.7816091954023,92.70114942528735,0,36,224
22,37,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,428.1909090909091,100.86363636363636,0,37,239
22,38,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,611.5091575091575,103.05494505494505,0,38,242
22,39,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,312.51869158878503,105.07943925233644,0,39,250
22,40,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,453.8541666666667,113.6125,0,40,266
22,41,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,414.3884297520661,113.47933884297521,0,41,269
22,42,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,396.7104247104247,122.91505791505791,0,42,288
22,43,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,463.9714285714286,127.71428571428571,0,43,289
22,44,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,7.860557768924303,123.43027888446215,0,44,293
22,45,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,410.4045454545454,126.89090909090909,0,45,304
22,46,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,56.647887323943664,128.80751173708921,0,46,306
22,47,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,310.4935064935065,130.84415584415584,0,47,312
22,48,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,95.11297071129707,131.09623430962344,0,48,315
22,49,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,339.91803278688525,134.00409836065575,0,49,322
22,50,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,428.5962441314554,132.04225352112675,0,50,323
22,51,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,454.08490566037733,130.66981132075472,0,51,324
22,52,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,391.4526315789474,136.55789473684212,0,52,331
22,53,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,400.97727272727275,139.13636363636363,0,53,333
22,54,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,451.8,140.84444444444443,0,54,340
22,55,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,519.4087591240876,140.8978102189781,0,55,348
22,56,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,137.6439628482972,146.4922600619195,0,56,355
22,57,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,472.88613861386136,147.7128712871287,0,57,356
22,58,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,422.42028985507244,150.17391304347825,0,58,365
22,59,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,303.82213438735175,151.55731225296444,0,59,369
22,60,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,397.8805031446541,152.1509433962264,0,60,378
22,61,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,113.71957671957672,155.0952380952381,0,61,383
22,62,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,494.23478260869564,160.90434782608696,0,62,388
22,63,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,325.1291866028708,160.29186602870814,0,63,393
22,64,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,469.34222222222223,163.6977777777778,0,64,398
22,65,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,308.62301587301585,166.14285714285714,0,65,401
22,66,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,7.59375,165.48263888888889,0,66,402
