ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_BCells1_Count,Children_TCells1_Count,Intensity_IntegratedIntensityEdge_B220,Intensity_IntegratedIntensityEdge_CD3,Intensity_IntegratedIntensityEdge_DAPI,Intensity_IntegratedIntensityEdge_PulpMask,Intensity_IntegratedIntensityEdge_TZoneMask,Intensity_IntegratedIntensity_B220,Intensity_IntegratedIntensity_CD3,Intensity_IntegratedIntensity_DAPI,Intensity_IntegratedIntensity_PulpMask,Intensity_IntegratedIntensity_TZoneMask,Intensity_LowerQuartileIntensity_B220,Intensity_LowerQuartileIntensity_CD3,Intensity_LowerQuartileIntensity_DAPI,Intensity_LowerQuartileIntensity_PulpMask,Intensity_LowerQuartileIntensity_TZoneMask,Intensity_MADIntensity_B220,Intensity_MADIntensity_CD3,Intensity_MADIntensity_DAPI,Intensity_MADIntensity_PulpMask,Intensity_MADIntensity_TZoneMask,Intensity_MassDisplacement_B220,Intensity_MassDisplacement_CD3,Intensity_MassDisplacement_DAPI,Intensity_MassDisplacement_PulpMask,Intensity_MassDisplacement_TZoneMask,Intensity_MaxIntensityEdge_B220,Intensity_MaxIntensityEdge_CD3,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PulpMask,Intensity_MaxIntensityEdge_TZoneMask,Intensity_MaxIntensity_B220,Intensity_MaxIntensity_CD3,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PulpMask,Intensity_MaxIntensity_TZoneMask,Intensity_MeanIntensityEdge_B220,Intensity_MeanIntensityEdge_CD3,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PulpMask,Intensity_MeanIntensityEdge_TZoneMask,Intensity_MeanIntensity_B220,Intensity_MeanIntensity_CD3,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PulpMask,Intensity_MeanIntensity_TZoneMask,Intensity_MedianIntensity_B220,Intensity_MedianIntensity_CD3,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PulpMask,Intensity_MedianIntensity_TZoneMask,Intensity_MinIntensityEdge_B220,Intensity_MinIntensityEdge_CD3,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PulpMask,Intensity_MinIntensityEdge_TZoneMask,Intensity_MinIntensity_B220,Intensity_MinIntensity_CD3,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PulpMask,Intensity_MinIntensity_TZoneMask,Intensity_StdIntensityEdge_B220,Intensity_StdIntensityEdge_CD3,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PulpMask,Intensity_StdIntensityEdge_TZoneMask,Intensity_StdIntensity_B220,Intensity_StdIntensity_CD3,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PulpMask,Intensity_StdIntensity_TZoneMask,Intensity_UpperQuartileIntensity_B220,Intensity_UpperQuartileIntensity_CD3,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PulpMask,Intensity_UpperQuartileIntensity_TZoneMask,Location_CenterMassIntensity_X_B220,Location_CenterMassIntensity_X_CD3,Location_CenterMassIntensity_X_DAPI,Location_CenterMassIntensity_X_PulpMask,Location_CenterMassIntensity_X_TZoneMask,Location_CenterMassIntensity_Y_B220,Location_CenterMassIntensity_Y_CD3,Location_CenterMassIntensity_Y_DAPI,Location_CenterMassIntensity_Y_PulpMask,Location_CenterMassIntensity_Y_TZoneMask,Location_CenterMassIntensity_Z_B220,Location_CenterMassIntensity_Z_CD3,Location_CenterMassIntensity_Z_DAPI,Location_CenterMassIntensity_Z_PulpMask,Location_CenterMassIntensity_Z_TZoneMask,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_B220,Location_MaxIntensity_X_CD3,Location_MaxIntensity_X_DAPI,Location_MaxIntensity_X_PulpMask,Location_MaxIntensity_X_TZoneMask,Location_MaxIntensity_Y_B220,Location_MaxIntensity_Y_CD3,Location_MaxIntensity_Y_DAPI,Location_MaxIntensity_Y_PulpMask,Location_MaxIntensity_Y_TZoneMask,Location_MaxIntensity_Z_B220,Location_MaxIntensity_Z_CD3,Location_MaxIntensity_Z_DAPI,Location_MaxIntensity_Z_PulpMask,Location_MaxIntensity_Z_TZoneMask,Number_Object_Number,Parent_Nuclei
22,1,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,68,104,13,8,0,0,5.8088235294117645,2.5588235294117645,1.2090121958403874,0.776902633654955,9.304852983362556,1,0.6538461538461539,0.8271215157634514,12.199617136778862,12.041594578792296,4.0,1.7485314873740823,1.4142135623730951,7.0,7.681132178461787,-1.425387068243891,32.14213562373095,0.9066666666666666,0,0,0.05531395459547639,0.0,1.1291218344122171,0.0,0.0,0.10907148802652955,0.09649805212393403,22.99298083782196,0.0,0.0,0.0,0.0,0.024185549467802048,0.0,0.0,0.0,0.0,0.11532768979668617,0.0,0.0,2.4352342082617398,3.1009813955945127,1.953571967694992,nan,nan,0.021713588386774063,0.0,0.21333637833595276,0.0,0.0,0.02554360218346119,0.0477149598300457,1.0,0.0,0.0,0.003072997477526466,0.0,0.06272899080067873,0.0,0.0,0.0016039924709783757,0.0014190890018225594,0.3381320711444406,0.0,0.0,0.0,0.0,0.1267719566822052,0.0,0.0,0.0,0.0,0.00857557076960802,0.0,0.0,0.0,0.0,0.00857557076960802,0.0,0.0,0.006490796728064607,0.0,0.06523337825624285,0.0,0.0,0.0049584512026184056,0.007657782698852966,0.3781441138410643,0.0,0.0,0.0,0.0,0.7163347601890564,0.0,0.0,3.3736709563716847,8.076059438573232,7.197806684749436,nan,nan,2.5787633163830868,0.44323213501820935,1.185080748847699,nan,nan,0.0,0.0,0.0,nan,nan,5.8088235294117645,2.5588235294117645,0,5.0,10.0,10.0,5.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1,1
22,2,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,406,648,28,24,1,0,13.849753694581281,10.625615763546797,1.2863669785698544,0.8538371521922218,22.736210219877808,1,0.6265432098765432,0.7773831392281004,31.62682830765047,31.400636936215164,8.06225774829855,3.5158482637201436,3.1622776601683795,16.263455967290593,16.46303607095049,-0.8657459274519583,81.01219330881975,0.9463869463869464,0,0,0.24072632822208107,0.04786755330860615,3.4029755445662886,0.0,0.0,3.3878538261633366,1.7826352550182492,168.71766254887916,0.0,0.0,0.0,0.0,0.03688868507742882,0.0,0.0,0.0,0.0,0.3642175905406475,0.0,0.0,2.8150589201854608,2.2151057852665033,2.2580270295145506,nan,nan,0.09965667128562927,0.024124514311552048,0.6088502407073975,0.0,0.0,0.1914244294166565,0.3841001093387604,1.0,0.0,0.0,0.004223268916176861,0.0008397816369930903,0.05970132534326822,0.0,0.0,0.008344467552126445,0.004390727229108988,0.41556074519428365,0.0,0.0,0.0,0.0,0.40251773595809937,0.0,0.0,0.0,0.0,0.0032501716632395983,0.0,0.0,0.0,0.0,0.0032501716632395983,0.0,0.0,0.015167697654083658,0.004052128248858032,0.11306109301271203,0.0,0.0,0.025344499702839033,0.027424448594298555,0.3606461041630022,0.0,0.0,0.0,0.0,0.7644922733306885,0.0,0.0,13.88533168572036,14.820954425557904,14.167786890632803,nan,nan,13.440449849361135,12.61646050386976,8.390097713468123,nan,nan,0.0,0.0,0.0,nan,nan,13.849753694581281,10.625615763546797,0,15.0,15.0,21.0,13.0,2.0,16.0,16.0,2.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,2,2
22,3,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,58,84,54,7,42,0,48.06896551724138,2.3448275862068964,1.178972491731451,0.7615916035784499,8.593479713983122,1,0.6904761904761905,0.8481962106947802,11.140302468832914,11.045361017187261,3.605551275463989,1.6670557983401408,1.4142135623730951,6.0,7.219554040672948,1.4165238085225034,29.31370849898476,0.9508196721311475,0,0,0.1334248874336481,0.0,2.203280694782734,0.0,0.0,0.6539711600635201,0.07472343137487769,23.083955138921738,0.0,0.0,0.0,0.0,0.13257800787687302,0.0,0.0,0.0,0.0,0.126131072640419,0.0,0.0,0.23225661641090023,0.9810455615533699,1.001214520990356,nan,nan,0.0639505609869957,0.0,0.3506981134414673,0.0,0.0,0.07811093330383301,0.026321813464164734,1.0,0.0,0.0,0.008339055464603007,0.0,0.13770504342392087,0.0,0.0,0.01127536482868138,0.0012883350237047877,0.3979992265331334,0.0,0.0,0.0,0.0,0.24228274822235107,0.0,0.0,0.0,0.0,0.04589913785457611,0.0,0.0,0.0,0.0,0.04589913785457611,0.0,0.0,0.01669625257965,0.0,0.06445712647761986,0.0,0.0,0.01945129643539611,0.004938244970771573,0.3242186399879731,0.0,0.0,0.015159837901592255,0.0,0.7669794857501984,0.0,0.0,47.88900553787364,49.02511738104575,48.11418707875921,nan,nan,2.1980027187879077,2.5644272382717213,1.3446348410743207,nan,nan,0.0,0.0,0.0,nan,nan,48.06896551724138,2.3448275862068964,0,49.0,47.0,46.0,52.0,45.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3,3
22,4,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,222,264,73,12,51,0,61.63963963963964,5.216216216216216,1.197505891023671,0.8246285647441782,16.812470934731934,1,0.8409090909090909,0.8350689608258746,22.520508608413124,21.587033144922902,6.0,2.792699255003967,2.8284271247461903,11.0,12.739279243469634,-1.4445545302799605,57.79898987322333,0.9568965517241379,0,0,0.3800106872804463,0.017883573193103075,11.943343244493008,0.0,0.0,1.221667825942859,0.3604028453119099,142.4260471239686,0.0,0.0,0.0,0.0,0.29344625771045685,0.0,0.0,0.0,0.0,0.21457237005233765,0.0,0.0,0.999360463105802,1.0141280923192793,0.37454560068964127,nan,nan,0.07168688625097275,0.01736476644873619,0.8583657741546631,0.0,0.0,0.10409704595804214,0.03491264209151268,1.0,0.0,0.0,0.010555852424456842,0.000496765922030641,0.3317595345692502,0.0,0.0,0.005503008224967834,0.0016234362401437382,0.6415587708286874,0.0,0.0,0.0,0.0,0.7574731111526489,0.0,0.0,0.0,0.0,0.0639200434088707,0.0,0.0,0.0,0.0,0.0639200434088707,0.0,0.0,0.02105408692091373,0.002851912168614133,0.2377651381061861,0.0,0.0,0.014863265316973857,0.005541454719777717,0.31982915191604877,0.0,0.0,0.0,0.0,0.9183794856071472,0.0,0.0,61.191526579403586,62.06647196566689,61.33578096467853,nan,nan,6.109477667564544,4.296286896600135,4.9972314846780534,nan,nan,0.0,0.0,0.0,nan,nan,61.63963963963964,5.216216216216216,0,55.0,59.0,64.0,66.0,66.0,0.0,4.0,2.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,4,4
22,5,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,228,315,100,15,79,0,88.83333333333333,5.394736842105263,1.1996562196565643,0.7521766162927874,17.03815178355966,1,0.7238095238095238,0.8335721380965944,21.39365836868155,20.8806130178211,6.708203932499369,2.8574110791455714,2.8284271247461903,14.0,14.097598498328903,1.5453109365580537,58.62741699796952,0.95,0,0,0.48262760462239385,0.0,6.768566437065601,0.0,0.0,1.6957961393054575,0.23144884849898517,131.52660409919918,0.0,0.0,0.0,0.0,0.22623026371002197,0.0,0.0,0.0,0.0,0.2873426079750061,0.0,0.0,1.0964058501201057,0.49942178753795197,0.6586660044149499,nan,nan,0.16231021285057068,0.0,0.6512245535850525,0.0,0.0,0.16231021285057068,0.035828184336423874,1.0,0.0,0.0,0.013789360132068395,0.0,0.19338761248758862,0.0,0.0,0.007437702365374814,0.001015126528504321,0.5768710706105227,0.0,0.0,0.0,0.0,0.6496680974960327,0.0,0.0,0.0,0.0,0.021606775000691414,0.0,0.0,0.0,0.0,0.021393148228526115,0.0,0.0,0.03344752682099818,0.0,0.1675716538886366,0.0,0.0,0.019823788078669805,0.0042094460671547795,0.338797885406135,0.0,0.0,0.002517738612368703,0.0,0.8711985945701599,0.0,0.0,87.83892417161789,88.88996569626539,89.48740207079963,nan,nan,5.8565335585011145,4.898536381266768,5.3170516308923785,nan,nan,0.0,0.0,0.0,nan,nan,88.83333333333333,5.394736842105263,0,84.0,86.0,93.0,84.0,89.0,11.0,3.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,5,5
22,6,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,128,180,129,9,109,0,118.046875,2.984375,1.406038396867149,0.9085365934360412,12.766152972845846,1,0.7111111111111111,0.7112181304779018,20.356247236932084,19.026297590440446,4.0,2.0292812704249936,2.0,8.0,8.504947732284709,-1.5360848212084324,47.55634918610404,0.920863309352518,0,0,0.37347982358187437,0.0021820401307195425,4.371099415235221,0.0,0.0,0.8352636054623872,0.20157168037258089,68.83927696850151,0.0,0.0,0.0,0.0,0.09228656440973282,0.0,0.0,0.0,0.0,0.33818572759628296,0.0,0.0,1.2377593766932566,4.3939262034021755,2.196875261090136,nan,nan,0.06776531785726547,0.0021820401307195425,0.7023880481719971,0.0,0.0,0.07637140154838562,0.05593957379460335,1.0,0.0,0.0,0.01436460859930286,8.39246204122901e-05,0.16811920827827775,0.0,0.0,0.0065254969176749,0.0015747787529107882,0.537806851316418,0.0,0.0,0.0,0.0,0.65291827917099,0.0,0.0,0.0,0.0,0.007202258333563805,0.0,0.0,0.0,0.0,0.007202258333563805,0.0,0.0,0.02270531041378922,0.0004196231020614505,0.194910034198674,0.0,0.0,0.016225460179054726,0.007326986253334546,0.38341905357225053,0.0,0.0,0.0,0.0,0.9295185804367065,0.0,0.0,118.97564805133756,113.66449657925638,115.96349367348456,nan,nan,2.166188655881986,3.302725213357728,2.2873935360308097,nan,nan,0.0,0.0,0.0,nan,nan,118.046875,2.984375,0,123.0,112.0,117.0,127.0,111.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6,6
22,7,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,94,114,154,6,135,0,143.87234042553192,2.234042553191489,1.444942762964474,0.9402485375011557,10.940041919714261,1,0.8245614035087719,0.6920689356223215,18.94599766032716,18.0,3.0,1.7713531255927946,2.0,5.0,6.45090181105929,-1.5567459105323245,41.31370849898476,0.9494949494949495,0,0,0.48542000842280686,0.04423590376973152,1.4689402487128973,0.0,0.0,1.483024342218414,0.10855268407613039,24.03367655351758,0.0,0.0,0.0,0.0,0.041947051882743835,0.0,0.0,0.0,0.0,0.039093613624572754,0.0,0.0,0.353919301407664,2.0448756060517073,1.4827048757564363,nan,nan,0.11757076531648636,0.04423590376973152,0.3540550768375397,0.0,0.0,0.13615624606609344,0.04423590376973152,0.9934386014938354,0.0,0.0,0.021105217757513343,0.0019233001639013705,0.06386696733534336,0.0,0.0,0.015776854704451213,0.0011548157880439402,0.255677410143804,0.0,0.0,0.0,0.0,0.07275501638650894,0.0,0.0,0.0,0.0,0.016769664362072945,0.0,0.0,0.0,0.0,0.016769664362072945,0.0,0.0,0.03614262411485519,0.009021077399633978,0.06647394250892702,0.0,0.0,0.03189233797494239,0.0058338819010634235,0.3204262215238129,0.0,0.0,0.012458991724997759,0.0,0.41928741335868835,0.0,0.0,143.66148778767374,145.84411006486692,143.97504075935748,nan,nan,1.9497890800075446,1.692156279493744,0.7548987501675823,nan,nan,0.0,0.0,0.0,nan,nan,143.87234042553192,2.234042553191489,0,137.0,151.0,138.0,140.0,137.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7,7
22,8,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,342,462,176,21,154,0,164.6783625730994,8.271929824561404,1.1303441835381123,0.43600535700851795,20.867389014906145,1,0.7402597402597403,0.8846862880913675,22.416693292970482,23.323807579381203,9.219544457292887,3.552881056188133,3.0,19.807729648956588,20.17377019218524,0.9605933956925992,69.698484809835,0.9606741573033708,0,0,2.7103074572514743,0.0,3.7753414176404476,0.0,0.0,21.42894638213329,0.2773632442113012,155.52391834929585,0.0,0.0,0.0,0.0,0.10964370146393776,0.0,0.0,0.0322270542383194,0.0,0.3031357228755951,0.0,0.0,2.899253043188401,3.7774594252059646,0.15829264571099388,nan,nan,0.26364538073539734,0.0,0.24257266521453857,0.0,0.0,0.6363469958305359,0.061234455555677414,1.0,0.0,0.0,0.06022905460558832,0.0,0.0838964759475655,0.0,0.0,0.06265773795945406,0.0008110036380447403,0.45474829926694693,0.0,0.0,0.0322270542383194,0.0,0.4901503026485443,0.0,0.0,0.0,0.0,0.032471198588609695,0.0,0.0,0.0,0.0,0.024795910343527794,0.0,0.0,0.0608549461105762,0.0,0.05281506447672734,0.0,0.0,0.08563245746783105,0.005021934103861746,0.3168750889085296,0.0,0.0,0.09310292080044746,0.0,0.727145791053772,0.0,0.0,167.05708136861654,167.48929962340412,164.6719235927082,nan,nan,9.929447577193555,5.748473344195317,8.113768194518881,nan,nan,0.0,0.0,0.0,nan,nan,164.6783625730994,8.271929824561404,0,171.0,169.0,163.0,157.0,161.0,3.0,8.0,9.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,8,8
22,9,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,166,208,199,13,183,0,190.84939759036143,5.5120481927710845,1.1222756060192833,0.4887994440335467,14.538148590038452,1,0.7980769230769231,0.8910467220676787,15.750560601166523,16.15549442140351,6.708203932499369,2.66811910113328,2.23606797749979,12.0,13.740728979256007,-1.452284273167855,48.384776310850235,0.9325842696629213,0,0,0.8329442385584116,0.014785992912948132,4.245517659932375,0.0,0.0,2.1318684783764184,0.13754482613876462,41.06202787999064,0.0,0.0,0.0,0.0,0.071694515645504,0.0,0.0,0.0,0.0,0.14845502376556396,0.0,0.0,2.3172015512615367,4.07734825432405,0.8950822674596539,nan,nan,0.21071183681488037,0.009674220345914364,0.49840542674064636,0.0,0.0,0.21071183681488037,0.03015182726085186,0.9823147654533386,0.0,0.0,0.026029507454950362,0.0004620622785296291,0.13267242687288672,0.0,0.0,0.012842581195038665,0.000828583289992558,0.24736161373488336,0.0,0.0,0.0,0.0,0.21771572530269623,0.0,0.0,0.0,0.0,0.017929350957274437,0.0,0.0,0.0,0.0,0.015335316769778728,0.0,0.0,0.04215789379307496,0.0018782364443033946,0.14536029573907552,0.0,0.0,0.026708678630304825,0.003713894137673349,0.19657532259562038,0.0,0.0,0.014984359499067068,0.0,0.3707713484764099,0.0,0.0,192.36248854501673,188.1408919260724,191.31005648342088,nan,nan,7.267035028080453,8.559795861715097,4.744607217994547,nan,nan,0.0,0.0,0.0,nan,nan,190.84939759036143,5.5120481927710845,0,198.0,191.0,194.0,195.0,187.0,6.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,9,9
22,10,,,0,0,X4,X4,Y1,Y1,WT1D,WT1D,238,270,216,15,198,0,206.19327731092437,6.432773109243698,1.0852110261243777,0.5798212150817363,17.407785949022028,1,0.8814814814814815,0.9214797637758136,19.492409793973632,19.72308292331602,7.615773105863909,3.0685512308572958,2.8284271247461903,14.0,15.881318817343605,-1.3054144909360859,56.970562748477136,0.9714285714285714,0,0,2.023773554712534,0.0,3.833829256473109,0.0,0.0,16.89311058050953,0.1214923351071775,104.3025102855172,0.0,0.0,0.0,0.0,0.052857253700494766,0.0,0.0,0.027450980618596077,0.0,0.3790646493434906,0.0,0.0,3.5296045096424646,1.6431463794954098,1.714882101633432,nan,nan,0.3151750862598419,0.0,0.9671168327331543,0.0,0.0,0.5700465440750122,0.02522316388785839,1.0,0.0,0.0,0.053257198808224576,0.0,0.1008902435913976,0.0,0.0,0.07097945622062828,0.000510471996248645,0.43824584153578655,0.0,0.0,0.027450980618596077,0.0,0.43950560688972473,0.0,0.0,0.0,0.0,0.0019989318680018187,0.0,0.0,0.0,0.0,0.0019989318680018187,0.0,0.0,0.07606796811340284,0.0,0.2119800960611147,0.0,0.0,0.10106118048469069,0.0027948511947200262,0.367935136489593,0.0,0.0,0.10918593034148216,0.0,0.8013885915279388,0.0,0.0,202.86534246879143,204.8512936597312,205.23833915517116,nan,nan,7.6087653205299715,7.380934437488585,5.008373677486808,nan,nan,0.0,0.0,0.0,nan,nan,206.19327731092437,6.432773109243698,0,203.0,202.0,208.0,213.0,209.0,9.0,9.0,5.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,10,10
