ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
29,1,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,110.66666666666667,1.8421052631578947,0,1,4
29,2,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,153.54782608695652,5.965217391304348,0,2,7
29,3,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,621.0754716981132,1.3962264150943395,0,3,24
29,4,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,71.26007326007326,47.47985347985348,0,4,120
29,5,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,224.22622950819672,64.5344262295082,0,5,155
29,6,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,545.0,71.44680851063829,0,6,183
29,7,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,7.854251012145749,74.85425101214575,0,7,186
29,8,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,129.12099644128114,87.16014234875445,0,8,207
29,9,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,6.16580310880829,89.3678756476684,0,9,215
29,10,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,609.9792387543253,102.03114186851211,0,10,240
29,11,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,129.02970297029702,108.49009900990099,0,11,259
29,12,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,51.19259259259259,126.86666666666666,0,12,299
29,13,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,257.8861788617886,130.0528455284553,0,13,309
29,14,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,75.02758620689656,149.55172413793105,0,14,360
29,15,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,57.56967213114754,153.27868852459017,0,15,363
29,16,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,86.13709677419355,159.36021505376345,0,16,367
29,17,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,68.36666666666666,163.2,0,17,380
29,18,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,348.29545454545456,263.9318181818182,0,18,589
29,19,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,5.774038461538462,266.7548076923077,0,19,592
29,20,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,337.7829457364341,287.2170542635659,0,20,639
29,21,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,465.4758620689655,298.3758620689655,0,21,657
29,22,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,210.49860724233983,324.3565459610028,0,22,705
29,23,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,172.4625550660793,347.40088105726875,0,23,764
29,24,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,115.1523178807947,429.79470198675494,0,24,921
29,25,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,103.7936507936508,429.2063492063492,0,25,923
29,26,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,291.0835579514825,450.6091644204852,0,26,974
29,27,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,28.366559485530548,492.4244372990354,0,27,1059
29,28,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,152.19723183391002,533.5743944636678,0,28,1134
29,29,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,424.95675675675676,574.6324324324324,0,29,1227
29,30,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,48.70634920634921,608.1111111111111,0,30,1286
29,31,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,62.78798586572438,611.73851590106,0,31,1289
29,32,,,0,0,X5,X5,Y3,Y3,WT1D,WT1D,288.73949579831935,616.6302521008404,0,32,1301
