ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
17,1,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,3.7796610169491527,2.8135593220338984,0,1,1
17,2,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,55.83846153846154,3.6923076923076925,0,2,5
17,3,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,200.55327868852459,13.975409836065573,0,3,37
17,4,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,353.1799307958477,12.30795847750865,0,4,39
17,5,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,269.0975609756098,15.463414634146341,0,5,44
17,6,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,78.69090909090909,17.55757575757576,0,6,50
17,7,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,365.1708185053381,26.95729537366548,0,7,65
17,8,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,212.9591836734694,30.551020408163264,0,8,67
17,9,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,269.54545454545456,27.292207792207794,0,9,68
17,10,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,294.8854961832061,30.30916030534351,0,10,69
17,11,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,510.6545454545454,27.98181818181818,0,11,71
17,12,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,533.6459854014598,30.18978102189781,0,12,78
17,13,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,376.3423076923077,37.43076923076923,0,13,88
17,14,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,522.5751295336787,38.35233160621762,0,14,89
17,15,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,278.7162162162162,38.513513513513516,0,15,92
17,16,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,511.551912568306,42.87431693989071,0,16,94
17,17,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,349.70142180094786,41.502369668246445,0,17,96
17,18,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,330.73493975903614,43.68975903614458,0,18,101
17,19,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,502.1136363636364,39.90151515151515,0,19,102
17,20,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,289.47859922178986,44.80544747081712,0,20,106
17,21,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,361.33142857142855,44.66285714285714,0,21,109
17,22,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,383.2203947368421,53.01315789473684,0,22,115
17,23,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,400.9707317073171,50.390243902439025,0,23,116
17,24,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,217.57983193277312,49.575630252100844,0,24,117
17,25,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,430.0490797546012,50.20858895705521,0,25,119
17,26,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,270.3565217391304,51.495652173913044,0,26,123
17,27,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,42.8646288209607,53.109170305676855,0,27,126
17,28,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,339.3941605839416,57.67153284671533,0,28,133
17,29,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,24.129533678756477,61.22279792746114,0,29,137
17,30,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,214.38188976377953,61.188976377952756,0,30,139
17,31,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,321.13803680981596,61.11963190184049,0,31,140
17,32,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,299.40055248618785,63.530386740331494,0,32,142
17,33,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,45.985,65.79,0,33,144
17,34,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,34.8041237113402,63.98969072164948,0,34,148
17,35,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,4.565,68.895,0,35,150
17,36,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,57.76243093922652,71.51381215469613,0,36,151
17,37,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,207.79054054054055,69.44594594594595,0,37,156
17,38,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,15.175,72.28333333333333,0,38,159
17,39,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,28.320422535211268,77.08450704225352,0,39,163
17,40,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,195.25157232704402,80.27253668763103,0,40,167
17,41,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,222.6435185185185,76.79629629629629,0,41,169
17,42,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,288.0077821011673,77.38910505836576,0,42,170
17,43,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,535.5198412698413,80.92460317460318,0,43,174
17,44,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,605.3046357615895,87.86092715231788,0,44,184
17,45,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,341.8587786259542,91.93129770992367,0,45,185
17,46,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,75.92307692307692,90.23931623931624,0,46,187
17,47,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,288.6764705882353,92.36764705882354,0,47,189
17,48,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,152.79908675799086,95.80365296803653,0,48,193
17,49,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,252.61797752808988,96.79026217228464,0,49,199
17,50,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,97.80534351145039,105.64503816793894,0,50,213
17,51,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,294.993399339934,109.55115511551155,0,51,214
17,52,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,159.59362549800798,110.25498007968127,0,52,219
17,53,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,319.6280193236715,110.22705314009661,0,53,220
17,54,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,105.02816901408451,116.27699530516432,0,54,227
17,55,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,333.74257425742576,117.08415841584159,0,55,229
17,56,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,308.3724489795918,117.58673469387755,0,56,231
17,57,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,169.77806788511748,121.52741514360314,0,57,232
17,58,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,595.8941176470588,119.45294117647059,0,58,236
17,59,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,454.2738095238095,118.11904761904762,0,59,238
17,60,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,472.74615384615385,116.57692307692308,0,60,239
17,61,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,484.61306532663315,120.33165829145729,0,61,240
17,62,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,497.53809523809525,121.21904761904761,0,62,241
17,63,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,396.3663101604278,125.33957219251337,0,63,246
17,64,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,608.4188034188035,123.74358974358974,0,64,247
17,65,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,286.3949044585987,122.02547770700637,0,65,248
17,66,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,322.6363636363636,122.06493506493507,0,66,249
17,67,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,409.17283950617286,131.69135802469137,0,67,260
17,68,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,446.822695035461,129.0,0,68,261
17,69,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,329.65895953757223,130.53757225433526,0,69,263
17,70,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,283.4488636363636,135.0568181818182,0,70,266
17,71,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,319.5308988764045,138.5056179775281,0,71,271
17,72,,,0,0,X3,X3,Y1,Y1,WT1D,WT1D,471.9501661129568,138.06312292358805,0,72,272
