ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Cells
24,1,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,133.71969696969697,3.537878787878788,0,1,6
24,2,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,168.1382113821138,3.959349593495935,0,2,8
24,3,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,182.26470588235293,4.088235294117647,0,3,9
24,4,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,199.82442748091603,5.927480916030534,0,4,10
24,5,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,233.3515625,3.4765625,0,5,11
24,6,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,258.39285714285717,3.330357142857143,0,6,12
24,7,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,274.0093023255814,6.446511627906977,0,7,13
24,8,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,290.12,2.58,0,8,14
24,9,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,336.7793427230047,6.492957746478873,0,9,17
24,10,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,386.5688622754491,5.095808383233533,0,10,19
24,11,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,410.45098039215685,3.3823529411764706,0,11,21
24,12,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,556.5957446808511,1.9361702127659575,0,12,27
24,13,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,248.20078740157481,9.311023622047244,0,13,32
24,14,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,371.7375,5.4375,0,14,33
24,15,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,436.1546391752577,8.3659793814433,0,15,35
24,16,,,0,0,X4,X4,Y3,Y3,WT1D,WT1D,565.7522935779816,6.665137614678899,0,16,38
