ImageNumber,ObjectNumber,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_X,Metadata_X,Metadata_Y,Metadata_Y,Metadata_image,Metadata_image,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_Bzone_Count,Children_Nuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
28,1,,,0,0,X5,X5,Y2,Y2,WT1D,WT1D,138362,181440,630,630,342,0,508.2593053005883,264.4374828348824,1.7062912481560655,0.8952326986940934,419.7236827826691,1,0.7625771604938272,0.5860664180752659,648.8133816237583,678.7238024410224,138.9280389266328,51.956793654443764,47.0,287.0,289.1105550072693,0.15426422024684483,1722.4234482783627,0.9634096242088332,1,501,508.2593053005883,264.4374828348824,0,1
28,2,,,0,0,X5,X5,Y2,Y2,WT1D,WT1D,7056,9588,34,530,0,248,13.323270975056689,376.45847505668934,3.9533283686126444,0.9925582094778197,94.78385003602305,1,0.7359198998748435,0.2529514137857801,282.82959245239215,281.00177935379696,17.0,7.243784128931156,7.0,33.0,34.44047058893397,-0.02540475483651564,592.0599205235723,0.9505590731510171,1,23,13.323270975056689,376.45847505668934,0,2
